Step,Intermediate (Substrate),Enzyme,EC,Gene,Product,Compound,Other Pathway Connections/Alternatives,aux_availible,shared_enzyme,shared_compound,pathway,step_in_pathway,shared_enzyme_amount,shared_compound_amount,shared_ec_list,shared_ec_count,shared_compound_list,shared_compound_count,
Y0,PEP + Erythrose‑4‑phosphate,DAHP Synthase,2.5.1.54,aroF,3‑Deoxy‑D‑arabino‑heptulosonate 7‑phosphate (DAHP),C04691,(Feedback‑inhibited by phenylalanine.),FALSE,"['F0', 'W0']","['F0', 'W0']",Y,0,2,2,"['R01826', 'R01826', 'R01826', 'R01826']",4,"['R01826', 'R03083', 'R01826', 'R03083', 'R01826', 'R03083', 'R03083', 'R01826']",8,Bs
Y1,DAHP,Dehydroquinate Synthase,4.2.3.4,aroB,3‑Dehydroquinate,C00944,–,TRUE,"['F1', 'W1']","['F1', 'W1']",Y,1,2,2,"['R03083', 'R03083', 'R03083', 'R03083']",4,"['R03083', 'R03084', 'R03083', 'R03084', 'R03083', 'R03084', 'R03084', 'R03083']",8,Bs
Y2,3‑Dehydroquinate,Dehydroquinate Dehydratase,4.2.1.10,aroD,3‑Dehydroshikimate,C02637,–,TRUE,"['F2', 'W2']","['F2', 'W2']",Y,2,2,2,"['R03084', 'R03084', 'R03084', 'R03084']",4,"['R03084', 'R02413', 'R03084', 'R02413', 'R03084', 'R02413', 'R02413', 'R03084', 'R12885']",9,Bs
Y3,3‑Dehydroshikimate,Shikimate Dehydrogenase,1.1.1.25,aroE,Shikimate,C00493,–,FALSE,"['F3', 'W3']","['F3', 'W3']",Y,3,2,2,"['R02413', 'R02413', 'R02413', 'R02413', 'R12885']",5,"['R02413', 'R02412', 'R02412', 'R02413', 'R02413', 'R02412', 'R02412', 'R02413']",8,Bs
Y4,Shikimate,Shikimate Kinase,2.7.1.71,aroK,Shikimate‑3‑phosphate,C03175,(AroL is an isoenzyme.),FALSE,"['F4', 'W4']","['F4', 'W4']",Y,4,2,2,"['R02412', 'R02412', 'R02412', 'R02412']",4,"['R02412', 'R03460', 'R02412', 'R03460', 'R02412', 'R03460', 'R03460', 'R02412']",8,Bs
Y5,Shikimate‑3‑phosphate + PEP,EPSP Synthase,2.5.1.19,aroA,5‑Enolpyruvylshikimate‑3‑phosphate (EPSP),C01269,EPSP now uses user‑provided ID C01269.,TRUE,"['F5', 'W5']","['F5', 'W5']",Y,5,2,2,"['R03460', 'R03460', 'R03460', 'R03460']",4,"['R03460', 'R01714', 'R03460', 'R01714', 'R03460', 'R01714', 'R01714', 'R03460']",8,Bs
Y6,EPSP,Chorismate Synthase,4.2.3.5,aroC,Chorismate,C00251,Chorismate is the branch point for aromatic amino acids.,TRUE,"['F6', 'W6']","['F6', 'W6']",Y,6,2,2,"['R01714', 'R01714', 'R01714', 'R01714']",4,"['R01714', 'R00985', 'R01715', 'R01717', 'R01714', 'R01715', 'R00985', 'R01717', 'R01714', 'R01715', 'R00985', 'R01717', 'R01714', 'R00985', 'R01715', 'R12939', 'R01717', 'R01717']",18,Bs
Y7,Chorismate,Chorismate Mutase,5.4.99.5,aroH,Prephenate,C00254,–,FALSE,['F7'],['F7'],Y,7,1,1,"['R01715', 'R01715', 'R01715', 'R01715']",4,"['R01715', 'R01373', 'R01728', 'R10934', 'R01715', 'R01373', 'R01728', 'R10934', 'R01715', 'R01728', 'R01373', 'R01715', 'R01373', 'R01728', 'R01728', 'R10934']",16,Bs
Y8,Prephenate,Prephenate Dehydrogenase,1.3.1.12,tyrA,4‑Hydroxyphenylpyruvate,C01179,Directs pathway toward tyrosine.,TRUE,[],[],Y,8,0,0,"['R01728', 'R01728', 'R01728', 'R01728', 'R01728']",5,"['R01728', 'R00729', 'R01728', 'R00734', 'R01728', 'R00734', 'R00734', 'R01728', 'R00734', 'R00734', 'R00734', 'R01728', 'R00734']",13,Bs
Y9,4‑Hydroxyphenylpyruvate,Aminotransferase,2.6.1.57,tyrB,L‑Tyrosine,C00082,Typically uses glutamate as amino donor.,FALSE,['F9'],[],Y,9,1,0,"['R00734', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",11,"['R00729', 'R00734', 'R00734', 'R00734', 'R00734', 'R00734', 'R00734', 'R00734', 'R02918']",9,Bs
W0,PEP + Erythrose‑4‑phosphate,DAHP Synthase,2.5.1.54,aroH,3‑Deoxy‑D‑arabino‑heptulosonate 7‑phosphate (DAHP),C04691,(Feedback‑inhibited by tryptophan.),FALSE,"['F0', 'Y0']","['F0', 'Y0']",W,0,2,2,"['R01826', 'R01826', 'R01826', 'R01826']",4,"['R01826', 'R03083', 'R01826', 'R03083', 'R01826', 'R03083', 'R03083', 'R01826']",8,Bs
W1,DAHP,Dehydroquinate Synthase,4.2.3.4,aroB,3‑Dehydroquinate,C00944,–,TRUE,"['F1', 'Y1']","['F1', 'Y1']",W,1,2,2,"['R03083', 'R03083', 'R03083', 'R03083']",4,"['R03083', 'R03084', 'R03083', 'R03084', 'R03083', 'R03084', 'R03084', 'R03083']",8,Bs
W2,3‑Dehydroquinate,Dehydroquinate Dehydratase,4.2.1.10,aroD,3‑Dehydroshikimate,C02637,–,TRUE,"['F2', 'Y2']","['F2', 'Y2']",W,2,2,2,"['R03084', 'R03084', 'R03084', 'R03084']",4,"['R03084', 'R02413', 'R03084', 'R02413', 'R03084', 'R02413', 'R02413', 'R03084', 'R12885']",9,Bs
W3,3‑Dehydroshikimate,Shikimate Dehydrogenase,1.1.1.25,aroE,Shikimate,C00493,–,FALSE,"['F3', 'Y3']","['F3', 'Y3']",W,3,2,2,"['R02413', 'R02413', 'R02413', 'R02413', 'R12885']",5,"['R02413', 'R02412', 'R02412', 'R02413', 'R02413', 'R02412', 'R02412', 'R02413']",8,Bs
W4,Shikimate,Shikimate Kinase,2.7.1.71,aroK,Shikimate‑3‑phosphate,C03175,–,FALSE,"['F4', 'Y4']","['F4', 'Y4']",W,4,2,2,"['R02412', 'R02412', 'R02412', 'R02412']",4,"['R02412', 'R03460', 'R02412', 'R03460', 'R02412', 'R03460', 'R03460', 'R02412']",8,Bs
W5,Shikimate‑3‑phosphate + PEP,EPSP Synthase,2.5.1.19,aroA,EPSP,C01269,–,TRUE,"['F5', 'Y5']","['F5', 'Y5']",W,5,2,2,"['R03460', 'R03460', 'R03460', 'R03460']",4,"['R03460', 'R01714', 'R03460', 'R01714', 'R03460', 'R01714', 'R01714', 'R03460']",8,Bs
W6,EPSP,Chorismate Synthase,4.2.3.5,aroC,Chorismate,C00251,–,TRUE,"['F6', 'Y6']","['F6', 'Y6']",W,6,2,2,"['R01714', 'R01714', 'R01714', 'R01714']",4,"['R01714', 'R00985', 'R01715', 'R01717', 'R01714', 'R01715', 'R00985', 'R01717', 'R01714', 'R01715', 'R00985', 'R01717', 'R01714', 'R00985', 'R01715', 'R12939', 'R01717', 'R01717']",18,Bs
W7,Chorismate,Anthranilate Synthase,4.1.3.27,trpE,Anthranilate,C00108,Uses glutamine as amino donor.,TRUE,[],[],W,7,0,0,"['R00985', 'R00985', 'R00985', 'R00985']",4,"['R00985', 'R01073', 'R00985', 'R01073', 'R00985', 'R01073', 'R01073', 'R00985']",8,Bs
W8,Anthranilate,Anthranilate Phosphoribosyltransferase,2.4.2.18,trpD,N‑(5′‑Phosphoribosyl)anthranilate,C04302,Requires PRPP.,TRUE,[],[],W,8,0,0,"['R01073', 'R01073', 'R01073', 'R01073']",4,"['R01073', 'R03509', 'R01073', 'R03509', 'R01073', 'R03509', 'R03509', 'R01073']",8,Bs
W9,N‑(5′‑Phosphoribosyl)anthranilate,Phosphoribosyl Anthranilate Isomerase,5.3.1.24,trpF,Carboxyphenylamino deoxyribulose phosphate,C01302,–,TRUE,[],[],W,9,0,0,"['R03509', 'R03509', 'R03509', 'R03509']",4,"['R03509', 'R03508', 'R03509', 'R03508', 'R03509', 'R03508', 'R03508', 'R03509']",8,Bs
W11,Carboxyphenylamino deoxyribulose phosphate,Indole‑3‑Glycerol Phosphate Synthase,4.1.1.48,trpC,Indole‑3‑glycerol phosphate,C03506,–,TRUE,[],[],W,11,0,0,"['R03508', 'R03508', 'R03508', 'R03508']",4,"['R03508', 'R02722', 'R02340', 'R03508', 'R02722', 'R02340', 'R03508', 'R02722', 'R02722', 'R02722', 'R02340', 'R03508']",12,Bs
W12,Indole‑3‑glycerol phosphate,Tryptophan Synthase α‑Subunit,4.2.1.20,trpA,Indole + Glyceraldehyde‑3‑phosphate,C00109,Indole is released.,TRUE,['W13'],['I6'],W,12,1,1,"['R02722', 'R02340', 'R02722', 'R00674', 'R02340', 'R02722', 'R02722', 'R02722', 'R02340', 'R00674']",10,"['R00999', 'R01001', 'R00996', 'R08648', 'R00994', 'R10991', 'R10996', 'R01283', 'R00996', 'R08648', 'R01001', 'R00994', 'R08648', 'R10991', 'R00994', 'R08648', 'R00996', 'R01001', 'R01000', 'R10996', 'R00994', 'R01283', 'R01001', 'R00996', 'R01001', 'R00999', 'R10991', 'R00994', 'R00996', 'R08648', 'R01001']",31,Bs
W13,Indole + Serine,Tryptophan Synthase β‑Subunit,4.2.1.20,trpB,L‑Tryptophan,C00078,Consumes serine as co‑substrate.,TRUE,['W12'],[],W,13,1,0,"['R02722', 'R02340', 'R02722', 'R00674', 'R02340', 'R02722', 'R02722', 'R02722', 'R02340', 'R00674']",10,"['R02722', 'R00673', 'R02722', 'R00674', 'R02722', 'R02722', 'R02722', 'R00674', 'R03664']",9,Bs
S0,2‑Phosphoglycerate,Phosphoglycerate Mutase,5.4.2.12,pgm,3‑Phosphoglycerate,C00197,A key glycolytic intermediate.,FALSE,"['G0', 'C0']","['G0', 'C0']",S,0,2,2,"['R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518']",8,"['R01512', 'R01518', 'R01513', 'R01518', 'R01512', 'R01513', 'R01512', 'R01518', 'R01513', 'R01518', 'R01512', 'R01513', 'R01512', 'R01518', 'R01513', 'R01512', 'R01518', 'R01512', 'R01513', 'R01518', 'R01513', 'R01518', 'R01513']",23,Bs
S1,3‑Phosphoglycerate,Phosphoglycerate Dehydrogenase,1.1.1.95,serA,3‑Phosphohydroxypyruvate,C03232,First committed step for serine synthesis.,TRUE,"['G1', 'C1']","['G1', 'C1']",S,1,2,2,"['R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513']",8,"['R01513', 'R04173', 'R01513', 'R04173', 'R04173', 'R01513', 'R01513', 'R04173', 'R01513', 'R04173', 'R01513', 'R04173', 'R01513', 'R04173', 'R04173', 'R01513']",16,Bs
S2,3‑Phosphohydroxypyruvate,Phosphoserine Aminotransferase,2.6.1.52,serC,3‑Phosphoserine,C01005,Uses glutamate as amino donor.,TRUE,"['G2', 'C2']","['G2', 'C2']",S,2,2,2,"['R04173', 'R05085', 'R04173', 'R04173', 'R04173', 'R04173', 'R05085', 'R04173', 'R04173', 'R04173', 'R05085']",11,"['R04173', 'R00582', 'R07274', 'R00582', 'R04173', 'R04173', 'R04173', 'R00582', 'R04173', 'R00582', 'R04173', 'R00582', 'R04173', 'R00582', 'R04173', 'R07274']",16,Bs
S3,3‑Phosphoserine,Phosphoserine Phosphatase,3.1.3.3,serB,L‑Serine,C00065,Final dephosphorylation step.,FALSE,"['G3', 'C3']","['G3', 'C3']",S,3,2,2,"['R00582', 'R00582', 'R00582', 'R00582', 'R00582', 'R00582']",6,"['R00220', 'R00582', 'R00586', 'R01800', 'R00945', 'R02722', 'R00589', 'R09099', 'R00590', 'R00945', 'R02722', 'R00674', 'R00220', 'R00945', 'R01800', 'R00586', 'R00582', 'R00945', 'R09099', 'R00586', 'R00582', 'R00945', 'R00220', 'R00586', 'R00220', 'R00945', 'R00582', 'R00586', 'R02722', 'R00945', 'R00945', 'R00582', 'R00945', 'R09099', 'R00586', 'R01800', 'R00582', 'R00945', 'R00589', 'R00220', 'R00220', 'R01800', 'R02722', 'R00586', 'R00590', 'R02722', 'R00674', 'R00945', 'R00589', 'R00945', 'R00945', 'R03662', 'R08218']",53,Bs
G0,2‑Phosphoglycerate,Phosphoglycerate Mutase,5.4.2.12,pgm,3‑Phosphoglycerate,C00197,A key glycolytic intermediate.,FALSE,"['S0', 'C0']","['S0', 'C0']",G,0,2,2,"['R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518']",8,"['R01512', 'R01518', 'R01513', 'R01518', 'R01512', 'R01513', 'R01512', 'R01518', 'R01513', 'R01518', 'R01512', 'R01513', 'R01512', 'R01518', 'R01513', 'R01512', 'R01518', 'R01512', 'R01513', 'R01518', 'R01513', 'R01518', 'R01513']",23,Bs
G1,3‑Phosphoglycerate,Phosphoglycerate Dehydrogenase,1.1.1.95,serA,3‑Phosphohydroxypyruvate,C03232,First committed step for serine synthesis.,TRUE,"['S1', 'C1']","['S1', 'C1']",G,1,2,2,"['R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513']",8,"['R01513', 'R04173', 'R01513', 'R04173', 'R04173', 'R01513', 'R01513', 'R04173', 'R01513', 'R04173', 'R01513', 'R04173', 'R01513', 'R04173', 'R04173', 'R01513']",16,Bs
G2,3‑Phosphohydroxypyruvate,Phosphoserine Aminotransferase,2.6.1.52,serC,3‑Phosphoserine,C01005,Uses glutamate as amino donor.,TRUE,"['S2', 'C2']","['S2', 'C2']",G,2,2,2,"['R04173', 'R05085', 'R04173', 'R04173', 'R04173', 'R04173', 'R05085', 'R04173', 'R04173', 'R04173', 'R05085']",11,"['R04173', 'R00582', 'R07274', 'R00582', 'R04173', 'R04173', 'R04173', 'R00582', 'R04173', 'R00582', 'R04173', 'R00582', 'R04173', 'R00582', 'R04173', 'R07274']",16,Bs
G3,3‑Phosphoserine,Phosphoserine Phosphatase,3.1.3.3,serB,L‑Serine,C00065,Final dephosphorylation step.,FALSE,"['S3', 'C3']","['S3', 'C3']",G,3,2,2,"['R00582', 'R00582', 'R00582', 'R00582', 'R00582', 'R00582']",6,"['R00220', 'R00582', 'R00586', 'R01800', 'R00945', 'R02722', 'R00589', 'R09099', 'R00590', 'R00945', 'R02722', 'R00674', 'R00220', 'R00945', 'R01800', 'R00586', 'R00582', 'R00945', 'R09099', 'R00586', 'R00582', 'R00945', 'R00220', 'R00586', 'R00220', 'R00945', 'R00582', 'R00586', 'R02722', 'R00945', 'R00945', 'R00582', 'R00945', 'R09099', 'R00586', 'R01800', 'R00582', 'R00945', 'R00589', 'R00220', 'R00220', 'R01800', 'R02722', 'R00586', 'R00590', 'R02722', 'R00674', 'R00945', 'R00589', 'R00945', 'R00945', 'R03662', 'R08218']",53,Bs
G4,L‑Serine,Serine Hydroxymethyltransferase,2.1.2.1,glyA,Glycine,C00037,Also provides one‑carbon units for folate metabolism.,TRUE,[],[],G,4,0,0,"['R00945', 'R09099', 'R00945', 'R00945', 'R00945', 'R09099', 'R00945', 'R00945', 'R00945', 'R00945', 'R00945', 'R09099', 'R00945', 'R00945', 'R00945', 'R00945']",16,"['R00367', 'R04144', 'R00899', 'R00945', 'R07463', 'R01221', 'R09099', 'R10908', 'R00371', 'R04951', 'R03425', 'R00945', 'R04144', 'R00945', 'R01221', 'R00945', 'R09099', 'R00945', 'R01221', 'R00945', 'R00945', 'R07463', 'R00945', 'R01221', 'R00945', 'R09099', 'R04144', 'R10908', 'R00945', 'R00371', 'R03425', 'R00945', 'R00899', 'R04951', 'R07463', 'R03425', 'R00945', 'R00945', 'R01221', 'R03654']",40,Bs
C0,2‑Phosphoglycerate,Phosphoglycerate Mutase,5.4.2.12,pgm,3‑Phosphoglycerate,C00197,A key glycolytic intermediate.,FALSE,"['S0', 'G0']","['S0', 'G0']",C,0,2,2,"['R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518', 'R01518']",8,"['R01512', 'R01518', 'R01513', 'R01518', 'R01512', 'R01513', 'R01512', 'R01518', 'R01513', 'R01518', 'R01512', 'R01513', 'R01512', 'R01518', 'R01513', 'R01512', 'R01518', 'R01512', 'R01513', 'R01518', 'R01513', 'R01518', 'R01513']",23,Bs
C1,3‑Phosphoglycerate,Phosphoglycerate Dehydrogenase,1.1.1.95,serA,3‑Phosphohydroxypyruvate,C03232,First committed step for serine synthesis.,TRUE,"['S1', 'G1']","['S1', 'G1']",C,1,2,2,"['R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513', 'R01513']",8,"['R01513', 'R04173', 'R01513', 'R04173', 'R04173', 'R01513', 'R01513', 'R04173', 'R01513', 'R04173', 'R01513', 'R04173', 'R01513', 'R04173', 'R04173', 'R01513']",16,Bs
C2,3‑Phosphohydroxypyruvate,Phosphoserine Aminotransferase,2.6.1.52,serC,3‑Phosphoserine,C01005,Uses glutamate as amino donor.,TRUE,"['S2', 'G2']","['S2', 'G2']",C,2,2,2,"['R04173', 'R05085', 'R04173', 'R04173', 'R04173', 'R04173', 'R05085', 'R04173', 'R04173', 'R04173', 'R05085']",11,"['R04173', 'R00582', 'R07274', 'R00582', 'R04173', 'R04173', 'R04173', 'R00582', 'R04173', 'R00582', 'R04173', 'R00582', 'R04173', 'R00582', 'R04173', 'R07274']",16,Bs
C3,3‑Phosphoserine,Phosphoserine Phosphatase,3.1.3.3,serB,L‑Serine,C00065,Final dephosphorylation step.,FALSE,"['S3', 'G3']","['S3', 'G3']",C,3,2,2,"['R00582', 'R00582', 'R00582', 'R00582', 'R00582', 'R00582']",6,"['R00220', 'R00582', 'R00586', 'R01800', 'R00945', 'R02722', 'R00589', 'R09099', 'R00590', 'R00945', 'R02722', 'R00674', 'R00220', 'R00945', 'R01800', 'R00586', 'R00582', 'R00945', 'R09099', 'R00586', 'R00582', 'R00945', 'R00220', 'R00586', 'R00220', 'R00945', 'R00582', 'R00586', 'R02722', 'R00945', 'R00945', 'R00582', 'R00945', 'R09099', 'R00586', 'R01800', 'R00582', 'R00945', 'R00589', 'R00220', 'R00220', 'R01800', 'R02722', 'R00586', 'R00590', 'R02722', 'R00674', 'R00945', 'R00589', 'R00945', 'R00945', 'R03662', 'R08218']",53,Bs
C4,L‑Serine,Serine Acetyltransferase,2.3.1.30,cysE,O‑Acetylserine,C00979,Activates serine for sulfur incorporation.,TRUE,[],[],C,4,0,0,"['R00586', 'R00586', 'R00586', 'R00586', 'R00586', 'R00586', 'R00586']",7,"['R00586', 'R00897', 'R00586', 'R00897', 'R00586', 'R00897', 'R00586', 'R00897', 'R00586', 'R00897', 'R10305', 'R00897', 'R00586', 'R00897', 'R00586', 'R10305']",16,Bs
C5,O‑Acetylserine + H₂S,O‑Acetylserine (Thiol)‑Lyase,2.5.1.47,cysK,L‑Cysteine,C00097,H₂S is provided via sulfate reduction.,TRUE,[],[],C,5,0,0,"['R00897', 'R07274', 'R00897', 'R00897', 'R00897', 'R00897', 'R00897', 'R00897', 'R07274']",9,"['R03217', 'R03260', 'R01001', 'R00893', 'R00782', 'R00897', 'R00899', 'R04230', 'R00895', 'R07460', 'R07274', 'R00903', 'R03260', 'R00897', 'R01001', 'R00897', 'R00897', 'R00897', 'R03260', 'R01001', 'R04230', 'R07460', 'R00897', 'R01001', 'R01001', 'R00897', 'R00893', 'R00903', 'R00782', 'R00782', 'R00896', 'R03260', 'R03217', 'R07274', 'R00893', 'R00903', 'R00899', 'R07460', 'R04231', 'R01001', 'R03650']",41,Bs
K0,Oxaloacetate,Aspartate Transaminase,2.6.1.1,aspB,L‑Aspartate,C00049,–,TRUE,"['T0', 'M0', 'I0', 'E2', 'Q3', 'P3', 'R3']","['T0', 'M0', 'I0']",K,0,7,3,"['R02619', 'R05052', 'R00895', 'R00355', 'R02433', 'R00734', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R02433', 'R02619', 'R00896', 'R00355', 'R05052', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",27,"['R00357', 'R00490', 'R00483', 'R00480', 'R01954', 'R04591', 'R01135', 'R00481', 'R00489', 'R00355', 'R00484', 'R00355', 'R01954', 'R00480', 'R04591', 'R00483', 'R00489', 'R00480', 'R00355', 'R00480', 'R00355', 'R00480', 'R00355', 'R00355', 'R01954', 'R00483', 'R01135', 'R00481', 'R00489', 'R01135', 'R01397', 'R04591', 'R01135', 'R01397', 'R00578', 'R00485', 'R00357', 'R00355', 'R01954', 'R01135', 'R00490', 'R01397', 'R00480', 'R00480', 'R00480', 'R01954', 'R00355', 'R00489', 'R00485', 'R00481', 'R00489', 'R00480', 'R05577']",53,Bs
K1,L‑Aspartate,Aspartokinase,2.7.2.4,lysC,Aspartyl‑phosphate,C03082,–,FALSE,"['T1', 'M1', 'I1']","['T1', 'M1', 'I1']",K,1,3,3,"['R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480', 'R00480']",9,"['R00480', 'R02291', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R02291', 'R00480', 'R00480', 'R02291', 'R00480']",17,Bs
K2,Aspartyl‑phosphate,Aspartate Semialdehyde Dehydrogenase,1.2.1.11,asd,Aspartate Semialdehyde,C00441,–,FALSE,"['T2', 'M2', 'I2']","['T2', 'M2', 'I2']",K,2,3,3,"['R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291', 'R02291']",8,"['R02291', 'R01773', 'R10147', 'R02291', 'R01773', 'R10147', 'R01773', 'R02291', 'R10147', 'R02291', 'R01773', 'R02291', 'R10147', 'R02291', 'R01773', 'R01773', 'R02291', 'R02291', 'R01773', 'R10147', 'R10147']",21,Bs
K3,Aspartate Semialdehyde,Dihydrodipicolinate Synthase,4.3.3.7,dapA,HTPA,C20258,Committed step toward lysine synthesis.,FALSE,[],[],K,3,0,0,"['R10147', 'R10147', 'R10147', 'R10147', 'R10147', 'R10147']",6,"['R04198', 'R10147', 'R04198', 'R10147', 'R10147', 'R04198', 'R10147', 'R04198', 'R10147', 'R04198', 'R04198', 'R10147']",12,Bs
K4,HTPA,Dihydrodipicolinate Reductase,1.17.1.8,dapB,Tetrahydrodipicolinate,C03972,–,FALSE,[],[],K,4,0,0,"['R04198', 'R04198', 'R04198', 'R04198', 'R04198', 'R04198']",6,"['R04198', 'R04364', 'R04198', 'R04364', 'R04198', 'R04198', 'R04364', 'R04198', 'R04364', 'R04198']",10,Bs
K5,Tetrahydrodipicolinate,Tetrahydrodipicolinate N‑succinyltransferase,2.3.1.89,dapH,N‑Succinyl-2‑amino-6‑ketopimelate,C04462,–,FALSE,[],[],K,5,0,0,"['R04364', 'R04364', 'R04364', 'R04364']",4,"['R04475', 'R04475', 'R04475', 'R04475']",4,Bs
K6,N‑Succinyl-2‑amino-6‑ketopimelate,Succinyl diaminopimelate Aminotransferase,2.6.1.-,patA,"N‑Succinyl-L‑2,6‑diaminopimelate",C04421,–,FALSE,[],[],K,6,0,0,"['R04467', 'R08622', 'R04467', 'R04467', 'R04467']",5,"['R02734', 'R04475', 'R04475', 'R02734', 'R04475', 'R02734', 'R04475', 'R02734']",8,Bs
