Aux,Environment,Num_of_points,R2,Slope,C,N,Species,Exp,aa_per_od
M,Gly_Glut,7.0,0.8417706683508549,0.0014804780876494,Gly,Glut,Bs,1,675.4574811625414
M,Gly_NoN,8.0,0.8471791298581497,0.0008705103415948,Gly,NoN,Bs,1,1148.7514303023343
R,Gluc_Glut,8.0,0.93501596943956,0.0005877893009902,Gluc,Glut,Bs,1,1701.2898981240094
R,Gly_Glut,8.0,0.8726504003200626,0.000575543446417,Gly,Glut,Bs,1,1737.4882925440652
S,Gluc_Asn,7.0,0.9149003108013696,0.00025783923131,Gluc,Asn,Bs,1,3878.3857480466204
S,Gluc_Glut,7.0,0.8975968380433025,0.0002200515584719,Gluc,Glut,Bs,1,4544.389537362433
C,Fum_Glcn,8.0,0.9948990911685716,0.0022264018280892,Fum,Glcn,Bs,2,449.15521869574
C,Fum_Glut,6.0,0.8205310080628089,0.002502717900656,Fum,Glut,Bs,2,399.56560814859915
C,Gluc_Glcn,7.0,0.989463030956908,0.0024794000468713,Gluc,Glcn,Bs,2,403.3233770653017
C,Gluc_Glut,8.0,0.918503996523962,0.0034520302337844,Gluc,Glut,Bs,2,289.68460073529474
C,Gluc_NoN,5.0,0.955841438850808,0.0067071161048689,Gluc,NoN,Bs,2,149.09537636810396
C,Gly_Glcn,7.0,0.9924084940291208,0.0028416217483009,Gly,Glcn,Bs,2,351.91172104377836
C,Gly_Glut,6.0,0.9159857549016606,0.0074425492033739,Gly,Glut,Bs,2,134.36256485166052
C,Gly_NoN,6.0,0.973318528279658,0.0036163074039362,Gly,NoN,Bs,2,276.525164567465
F,Fum_Glcn,3.0,0.9759056642453628,0.0226117647058823,Fum,Glcn,Bs,2,44.22476586888668
F,Fum_Glut,3.0,0.9952195121951222,0.0202,Fum,Glut,Bs,2,49.504950495049506
F,Fum_NoN,6.0,0.9493393530668388,0.0025450796626054,Fum,NoN,Bs,2,392.91500957431697
F,Gluc_Glcn,3.0,0.9936995552380444,0.0214235294117647,Gluc,Glcn,Bs,2,46.677649643053286
F,Gluc_Glut,3.0,0.9618502093525078,0.0668705882352941,Gluc,Glut,Bs,2,14.954257565095007
F,Gluc_NoN,3.0,0.9300312794193568,0.0288235294117647,Gluc,NoN,Bs,2,34.693877551020414
F,Gly_Glcn,4.0,0.9976699629936324,0.0142865671641791,Gly,Glcn,Bs,2,69.99582114500629
F,Gly_Glut,3.0,0.9404332003567698,0.0298705882352941,Gly,Glut,Bs,2,33.47774714454511
L,Fum_Glcn,6.0,0.997178356124371,0.002612183692596,Fum,Glcn,Bs,2,382.82146957521024
L,Fum_Glut,6.0,0.9978950723550174,0.0043578256794751,Fum,Glut,Bs,2,229.4722353649653
L,Fum_NoN,7.0,0.9841549525945428,0.0011812983360674,Fum,NoN,Bs,2,846.5262071976238
L,Gluc_Glcn,6.0,0.9850399488730592,0.0028939081537019,Gluc,Glcn,Bs,2,345.5534684888999
L,Gluc_Glut,6.0,0.9972354681886686,0.0028221180880974,Gluc,Glut,Bs,2,354.34378320936054
L,Gluc_NoN,6.0,0.980488243521419,0.0022727272727272,Gluc,NoN,Bs,2,440.00000000001404
L,Gly_Glcn,6.0,0.9953986069786608,0.0029955014058106,Gly,Glcn,Bs,2,333.83392778925906
L,Gly_Glut,5.0,0.9998702226271592,0.0045176029962546,Gly,Glut,Bs,2,221.35632565080815
L,Gly_NoN,7.0,0.9975469971779208,0.0015458167330677,Gly,NoN,Bs,2,646.9072164948575
M,Fum_Glcn,4.0,0.998768304678054,0.012331343283582,Fum,Glcn,Bs,2,81.09416606148692
M,Fum_Glut,5.0,0.9987021885180026,0.0115198501872659,Fum,Glut,Bs,2,86.80668443982066
M,Fum_NoN,4.0,0.9967345664885224,0.008555223880597,Fum,NoN,Bs,2,116.88764829030026
M,Gluc_Glcn,5.0,0.987157814716466,0.0114838951310861,Gluc,Glcn,Bs,2,87.07846846259245
M,Gluc_Glut,6.0,0.9946518684226086,0.008665229615745,Gluc,Glut,Bs,2,115.4037508922981
M,Gluc_NoN,4.0,0.9965534401048564,0.0107432835820895,Gluc,NoN,Bs,2,93.0814115031958
M,Gly_Glcn,5.0,0.9835833056398946,0.0113992509363295,Gly,Glcn,Bs,2,87.72506242607507
M,Gly_Glut,6.0,0.9984590417569686,0.0093473289597,Gly,Glut,Bs,2,106.98243362477047
M,Gly_NoN,5.0,0.9956615699440736,0.0069685393258426,Gly,NoN,Bs,2,143.50209609803488
R,Gly_Glut,7.0,0.9881250514711144,0.0018367471291305,Gly,Glut,Bs,2,544.4407584147913
S,Gluc_Glut,8.0,0.980778289026271,0.0001032893888791,Gluc,Glut,Bs,2,9681.536611379293
C,Fum_Glcn,8.0,0.8183517738664461,0.0006144723735864,Fum,Glcn,Ec,1,1627.4124647190367
C,Fum_Glut,8.0,0.9794638168039944,0.0005665436221948,Fum,Glut,Ec,1,1765.0891490508398
C,Gluc_Glcn,5.0,0.9985309627558304,0.0042112359550561,Gluc,Glcn,Ec,1,237.45997865528733
C,Gluc_Glut,6.0,0.9966133230174408,0.0021070290534208,Gluc,Glut,Ec,1,474.6019037452197
C,Gluc_NoN,5.0,0.9996598331171048,0.0035895131086142,Gluc,NoN,Ec,1,278.589315525879
C,Gly_Glcn,8.0,0.7494805064231385,0.0011358762524169,Gly,Glcn,Ec,1,880.3775920767913
C,Gly_Glut,7.0,0.998706747953344,0.0012959456292477,Gly,Glut,Ec,1,771.63731057182
C,Gly_NoN,7.0,0.9911510518282844,0.0013231778767283,Gly,NoN,Ec,1,755.7562876373113
F,Fum_Glcn,6.0,0.8594408478209293,0.016494283036551,Fum,Glcn,Ec,1,60.627066831824095
F,Fum_Glut,7.0,0.9186779777873813,0.0009995781579564,Fum,Glut,Ec,1,1000.4220200694085
F,Fum_NoN,7.0,0.6157213677083329,0.0005921724865244,Fum,NoN,Ec,1,1688.6971663767017
F,Gluc_Glcn,3.0,0.9087240523267074,0.0119529411764705,Gluc,Glcn,Ec,1,83.66141732283526
F,Gly_Glcn,6.0,0.9066064458317166,0.0056249297094657,Gly,Glcn,Ec,1,177.77999933353618
F,Gly_Glut,8.0,0.7176068080237434,0.0004556629753325,Gly,Glut,Ec,1,2194.604464561322
F,Gly_NoN,4.0,0.6131020852935878,0.0055671641791044,Gly,NoN,Ec,1,179.62466487935907
L,Fum_Glcn,8.0,0.9723108259672342,0.0014368195933673,Fum,Glcn,Ec,1,695.9816003458174
L,Fum_Glut,6.0,0.9085663303485902,0.0021229615745079,Fum,Glut,Ec,1,471.0400847607422
L,Gluc_Glcn,6.0,0.9845215403013196,0.0027141518275538,Gluc,Glcn,Ec,1,368.4392265193492
L,Gluc_Glut,5.0,0.9295080742141372,0.0030898876404494,Gluc,Glut,Ec,1,323.63636363636766
L,Gluc_NoN,6.0,0.9885914528049948,0.0026944704779756,Gluc,NoN,Ec,1,371.1304347826132
L,Gly_Glcn,6.0,0.8923963189075436,0.0020125585754451,Gly,Glcn,Ec,1,496.8799478439224
L,Gly_Glut,7.0,0.9337345059278932,0.0015160534333255,Gly,Glut,Ec,1,659.6073581697419
L,Gly_NoN,7.0,0.9293088308953644,0.0013508319662526,Gly,NoN,Ec,1,740.2845246356896
M,Fum_Glcn,7.0,0.9738521735270316,0.0057003515350363,Fum,Glcn,Ec,1,175.4277773666518
M,Fum_Glut,4.0,0.983323578187494,0.0093820895522388,Fum,Glut,Ec,1,106.58606426980599
M,Fum_NoN,8.0,0.9033473823410966,0.000609175602039,Fum,NoN,Ec,1,1641.5627885503843
M,Gluc_Glcn,4.0,0.9971748218696922,0.0102238805970149,Gluc,Glcn,Ec,1,97.81021897810243
M,Gluc_Glut,4.0,0.9990777409470244,0.0112597014925373,Gluc,Glut,Ec,1,88.81230116649003
M,Gluc_NoN,3.0,0.966052644100634,0.0172588235294117,Gluc,NoN,Ec,1,57.94137695978208
M,Gly_Glcn,4.0,0.9772858209304394,0.0099880597014925,Gly,Glcn,Ec,1,100.11954572624066
M,Gly_Glut,4.0,0.9649138492457234,0.0077402985074626,Gly,Glut,Ec,1,129.19398380254677
M,Gly_NoN,4.0,0.9593461965676792,0.0068179104477611,Gly,NoN,Ec,1,146.67250437828574
R,Fum_Glcn,8.0,0.9809358715066148,0.0032613698951192,Fum,Glcn,Ec,1,306.6196206374962
R,Fum_Glut,8.0,0.8549211431227514,0.0006369250600574,Fum,Glut,Ec,1,1570.043420665344
R,Fum_NoN,8.0,0.9008035713687126,0.0007464815140329,Fum,NoN,Ec,1,1339.6179023877696
R,Gluc_Glcn,8.0,0.962441077280792,0.0015501845667076,Gluc,Glcn,Ec,1,645.0844766980723
R,Gluc_Glut,7.0,0.8796766273047733,0.0010198734473869,Gluc,Glut,Ec,1,980.5138103773371
R,Gluc_NoN,6.0,0.9611656556510776,0.0020468603561387,Gluc,NoN,Ec,1,488.55311355311517
R,Gly_Glcn,6.0,0.9901327179466816,0.0019126522961574,Gly,Glcn,Ec,1,522.8341826734753
R,Gly_Glut,6.0,0.9880920294700336,0.002130084348641,Gly,Glut,Ec,1,469.4649771207431
R,Gly_NoN,6.0,0.9599080605503316,0.0024706654170571,Gly,NoN,Ec,1,404.7492602989265
S,Fum_Glcn,8.0,0.8996808689234779,9.958633620437102e-05,Fum,Glcn,Ec,1,10041.538208091124
S,Fum_Glut,8.0,0.983820544288512,0.0001194093865354,Fum,Glut,Ec,1,8374.551021611194
S,Fum_NoN,8.0,0.9807399461563764,0.0001345239350793,Fum,NoN,Ec,1,7433.621380541046
S,Gluc_Glcn,8.0,0.9681196121998984,0.0001980148825218,Gluc,Glcn,Ec,1,5050.125461604672
S,Gluc_NoN,8.0,0.994397516929862,0.0001414683306966,Gluc,NoN,Ec,1,7068.719868792752
S,Gly_Glcn,8.0,0.6129128368544885,7.22095271576727e-05,Gly,Glcn,Ec,1,13848.58812074002
S,Gly_Glut,8.0,0.940352353885173,0.0001006691275561,Gly,Glut,Ec,1,9933.532000093364
C,Gluc_Glcn,4.0,0.7923377766485488,0.0001941856392294,Gluc,Glcn,Ec,2,5149.711399711985
C,Gluc_Glcn,3.0,0.8829061019782666,0.0003689189189189,Gluc,Glcn,Ec,2,2710.62271062285
C,Gluc_Glcn,3.0,0.9749993687240648,0.0006372972972972,Gluc,Glcn,Ec,2,1569.1263782869232
C,Gluc_Glcn,3.0,0.9828712489861132,0.0007659459459459,Gluc,Glcn,Ec,2,1305.5751587862462
C,Gluc_Glcn,3.0,0.9973550939746704,0.0006832882882882,Gluc,Glcn,Ec,2,1463.5111081813482
F,Gluc_Glcn,3.0,0.5192307692307694,0.00042,Gluc,Glcn,Ec,2,2380.9523809523807
F,Gluc_Glcn,3.0,0.7724791430631373,0.0008421052631578,Gluc,Glcn,Ec,2,1187.5000000001335
F,Gluc_Glcn,3.0,0.8662273891125445,0.0011536842105263,Gluc,Glcn,Ec,2,866.788321167895
F,Gluc_Glcn,3.0,0.995301424749528,0.0011852631578947,Gluc,Glcn,Ec,2,843.69449378333
F,Gluc_Glcn,3.0,0.9082503975159798,0.0010108771929824,Gluc,Glcn,Ec,2,989.2398472753067
L,Gluc_Glcn,3.0,0.7754501456941655,0.000403063063063,Gluc,Glcn,Ec,2,2481.001341082194
L,Gluc_Glcn,3.0,0.6852755903303722,0.0009159459459459,Gluc,Glcn,Ec,2,1091.7674830333979
L,Gluc_Glcn,3.0,0.7083997687089931,0.0016227027027027,Gluc,Glcn,Ec,2,616.2558294470364
L,Gluc_Glcn,4.0,0.7878786519249137,0.0022052173913043,Gluc,Glcn,Ec,2,453.47003154575117
L,Gluc_Glcn,4.0,0.7862036933388432,0.0021885507246376,Gluc,Glcn,Ec,2,456.92338255746347
M,Gluc_Glcn,3.0,1.0,4.000000000000004e-05,Gluc,Glcn,Ec,2,24999.999999999978
M,Gluc_Glcn,3.0,0.652760513511895,0.000158224852071,Gluc,Glcn,Ec,2,6320.119670905248
M,Gluc_Glcn,3.0,0.6799786673359264,0.0003923076923076,Gluc,Glcn,Ec,2,2549.019607843737
M,Gluc_Glcn,3.0,0.8166571744685388,0.000827573964497,Gluc,Glcn,Ec,2,1208.3512083512687
M,Gluc_Glcn,3.0,0.8877697076836942,0.0006142603550295,Gluc,Glcn,Ec,2,1627.9741836048897
R,Gluc_Glcn,3.0,0.9299943433068816,0.000894054054054,Gluc,Glcn,Ec,2,1118.500604594989
R,Gluc_Glcn,3.0,0.95211714565169,0.0014194594594594,Gluc,Glcn,Ec,2,704.493526275734
R,Gluc_Glcn,3.0,0.9118354197309858,0.0014151351351351,Gluc,Glcn,Ec,2,706.6462948816065
R,Gluc_Glcn,3.0,0.9932432432432432,0.0014643243243243,Gluc,Glcn,Ec,2,682.9088224437176
R,Gluc_Glcn,3.0,0.942551539415008,0.0016856756756756,Gluc,Glcn,Ec,2,593.2339265672865
S,Gluc_Glcn,5.0,0.927730575761874,0.0001213125,Gluc,Glcn,Ec,2,8243.17362184441
S,Gluc_Glcn,5.0,0.9369997257846066,0.0001596160714285,Gluc,Glcn,Ec,2,6265.033282992119
S,Gluc_Glcn,5.0,0.9783010918011972,0.0001674821428571,Gluc,Glcn,Ec,2,5970.785798061022
S,Gluc_Glcn,3.0,0.9994669509594885,0.0001625,Gluc,Glcn,Ec,2,6153.846153846154
S,Gluc_Glcn,4.0,0.9977162712488942,0.000168789074355,Gluc,Glcn,Ec,2,5924.554085158281
